Athlete Name,Year,Event,Score,Created At,Updated At
"Zyorra Spencer","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Zecori Talbot","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Trevor Lindsay","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Jamarkis White","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Isabella Lindsay","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Inara Todd","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Dylan Flanagan","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Chan Simons","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Callahj Simons","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Andre Izaguirre","2025-2026","2025 Harto Ryu Kata Classic",15,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Khwai Mendoza","2025-2026","2025 Harto Ryu Kata Classic",25,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Ethan White","2025-2026","2025 Harto Ryu Kata Classic",25,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Amarriah Vaughans","2025-2026","2025 Harto Ryu Kata Classic",45,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Zoe Talbot","2025-2026","2025 Harto Ryu Kata Classic",45,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Tony Cabral","2025-2026","2025 Harto Ryu Kata Classic",70,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Talia Fox","2025-2026","2025 Harto Ryu Kata Classic",70,"2025-09-28T19:32:27.566709+00:00","2025-09-28T19:32:27.566709+00:00"
"Zyorra Spencer","2024-2025","2024 Kata Classic",15,"2025-08-31T02:33:09.270233+00:00","2025-08-31T02:33:09.270233+00:00"
