Athlete Name,Year,Event,Score,Created At,Updated At
"Callahj Simons","2021-2022","2022 Shiai",15,"2025-08-31T02:32:13.048989+00:00","2025-08-31T02:32:13.048989+00:00"
"Callahj Simons","2021-2022","2021 BudoCup",15,"2025-08-31T02:32:12.943329+00:00","2025-08-31T02:32:12.943329+00:00"
"Callahj Simons","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:12.841831+00:00","2025-08-31T02:32:12.841831+00:00"
"Amarriah Vaughans","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:12.585232+00:00","2025-08-31T02:32:12.585232+00:00"
"Amarriah Vaughans","2021-2022","2022 Shiai",10,"2025-08-31T02:32:12.466293+00:00","2025-08-31T02:32:12.466293+00:00"
"Amarriah Vaughans","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:12.367882+00:00","2025-08-31T02:32:12.367882+00:00"
"Alisa Lightbourne","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:12.081951+00:00","2025-08-31T02:32:12.081951+00:00"
"Alessia Vianello","2021-2022","2022 Shiai",15,"2025-08-31T02:32:11.873926+00:00","2025-08-31T02:32:11.873926+00:00"
"Alessia Vianello","2021-2022","2021 Kata Classic",10,"2025-08-31T02:32:11.760329+00:00","2025-08-31T02:32:11.760329+00:00"
"Talaya Sousa","2021-2022","2022 Shiai",10,"2025-08-31T02:32:11.516144+00:00","2025-08-31T02:32:11.516144+00:00"
"Talaya Sousa","2021-2022","2021 Kata Classic",5,"2025-08-31T02:32:11.401057+00:00","2025-08-31T02:32:11.401057+00:00"
"Skyler O'Connor","2021-2022","2021 BudoCup",10,"2025-08-31T02:32:11.188014+00:00","2025-08-31T02:32:11.188014+00:00"
"Skyler O'Connor","2021-2022","2021 Kata Classic",5,"2025-08-31T02:32:11.094178+00:00","2025-08-31T02:32:11.094178+00:00"
"Sierra DeSousa","2021-2022","2021 BudoCup",20,"2025-08-31T02:32:10.869676+00:00","2025-08-31T02:32:10.869676+00:00"
"Sierra DeSousa","2021-2022","2021 Kata Classic",5,"2025-08-31T02:32:10.761063+00:00","2025-08-31T02:32:10.761063+00:00"
"Nadia DeSousa","2021-2022","2022 Lepercq Memorial",15,"2025-08-31T02:32:10.534929+00:00","2025-08-31T02:32:10.534929+00:00"
"Nadia DeSousa","2021-2022","2022 Shiai",15,"2025-08-31T02:32:10.402638+00:00","2025-08-31T02:32:10.402638+00:00"
"Nadia DeSousa","2021-2022","2021 BudoCup",15,"2025-08-31T02:32:10.29876+00:00","2025-08-31T02:32:10.29876+00:00"
"Nadia DeSousa","2021-2022","2021 Kata Classic",5,"2025-08-31T02:32:10.148036+00:00","2025-08-31T02:32:10.148036+00:00"
"Chan Simons","2021-2022","2022 Lepercq Memorial",10,"2025-08-31T02:32:09.882733+00:00","2025-08-31T02:32:09.882733+00:00"
"Chan Simons","2021-2022","2021 Kata Classic",5,"2025-08-31T02:32:09.774084+00:00","2025-08-31T02:32:09.774084+00:00"
"Ariah Tucker","2021-2022","2021 Kata Classic",5,"2025-08-31T02:32:09.538678+00:00","2025-08-31T02:32:09.538678+00:00"
"Naomi Butterfield","2021-2022","2022 Shiai",15,"2025-08-31T02:32:09.251642+00:00","2025-08-31T02:32:09.251642+00:00"
"Naomi Butterfield","2021-2022","2021 BudoCup",5,"2025-08-31T02:32:09.121006+00:00","2025-08-31T02:32:09.121006+00:00"
"Naomi Butterfield","2021-2022","2021 Kata Classic",2,"2025-08-31T02:32:08.987215+00:00","2025-08-31T02:32:08.987215+00:00"
